clustering_method,pca_n_components,num_clusters,standardize,sum_cluster_values,all_cluster_values,accuracy_total,accuracy_Type_A,accuracy_Type_B,accuracy_Type_C,accuracy_Type_D,accuracy_Type_E,accuracy_Type_F,accuracy_Type_G,accuracy_Type_H,accuracy_Type_J
gmm,False,85,False,4109,7520,0.5464095744680851,0.7386206896551725,0.43733567046450483,0.4079685746352413,0.6209150326797386,0.1188118811881188,0.0,0.0,0.34328358208955223,0.6390489913544669
gmm,5,100,False,4106,7520,0.5460106382978723,0.7158620689655173,0.4145486415425066,0.4500561167227834,0.6034858387799564,0.2871287128712871,0.0,0.0,0.23134328358208955,0.6289625360230547
gmm,False,92,False,4106,7520,0.5460106382978723,0.6937931034482758,0.48378615249780893,0.4500561167227834,0.5541031227305737,0.2079207920792079,0.0,0.0,0.3208955223880597,0.6469740634005764
gmm,False,100,False,4103,7520,0.5456117021276595,0.716551724137931,0.44084136722173534,0.43546576879910215,0.6078431372549019,0.13861386138613863,0.0,0.0,0.17164179104477612,0.6462536023054755
gmm,10,100,False,4100,7520,0.5452127659574468,0.7268965517241379,0.4092900964066608,0.45173961840628507,0.5686274509803921,0.1485148514851485,0.0,0.0,0.21641791044776118,0.6714697406340058
gmm,5,92,False,4091,7520,0.5440159574468085,0.7310344827586207,0.4154250657318142,0.42368125701459036,0.6332607116920842,0.2871287128712871,0.0,0.0,0.23134328358208955,0.6059077809798271
gmm,False,78,False,4079,7520,0.5424202127659574,0.7737931034482759,0.37072743207712533,0.42424242424242425,0.5562817719680465,0.297029702970297,0.0,0.0,0.35074626865671643,0.6520172910662824
gmm,5,85,False,4078,7520,0.5422872340425532,0.7317241379310345,0.4110429447852761,0.42592592592592593,0.6332607116920842,0.2871287128712871,0.0,0.0,0.23134328358208955,0.5965417867435159
gmm,False,72,False,4066,7520,0.5406914893617021,0.74,0.39263803680981596,0.5028058361391695,0.5294117647058824,0.36633663366336633,0.0,0.0,0.0,0.6095100864553314
gmm,False,72,True,4061,7520,0.5400265957446808,0.74,0.44609991235758106,0.4175084175084175,0.5206971677559913,0.26732673267326734,0.0,0.0,0.27611940298507465,0.6678674351585014
gmm,10,92,False,4060,7520,0.5398936170212766,0.7268965517241379,0.43908851884312006,0.39730639730639733,0.6027596223674655,0.09405940594059406,0.0,0.0,0.26119402985074625,0.6577809798270894
gmm,3,85,False,4056,7520,0.5393617021276595,0.7558620689655172,0.4136722173531989,0.3793490460157127,0.5940450254175744,0.3118811881188119,0.0,0.0,0.11194029850746269,0.659942363112392
gmm,3,100,False,4055,7520,0.5392287234042553,0.7689655172413793,0.38212094653812445,0.4001122334455668,0.5831517792302106,0.3564356435643564,0.0,0.0,0.0,0.659942363112392
gmm,3,92,False,4055,7520,0.5392287234042553,0.7689655172413793,0.3558282208588957,0.4152637485970819,0.5918663761801016,0.3118811881188119,0.0,0.0,0.0,0.659942363112392
gmm,4,100,False,4055,7520,0.5392287234042553,0.6682758620689655,0.48115687992988604,0.398989898989899,0.6129266521423384,0.22772277227722773,0.0,0.0,0.16417910447761194,0.6585014409221902
gmm,10,85,False,4051,7520,0.5386968085106383,0.7248275862068966,0.42418930762489043,0.4264870931537598,0.5679012345679012,0.13861386138613863,0.0,0.0,0.21641791044776118,0.6606628242074928
gmm,4,92,False,4050,7520,0.538563829787234,0.6682758620689655,0.43382997370727433,0.44668911335578004,0.5846042120551924,0.2623762376237624,0.0,0.0,0.16417910447761194,0.6556195965417867
gmm,False,61,False,4049,7520,0.5384308510638298,0.6186206896551724,0.4767747589833479,0.40404040404040403,0.6325344952795933,0.19306930693069307,0.0,0.0,0.23880597014925373,0.6815561959654178
gmm,4,72,False,4045,7520,0.5378989361702128,0.6958620689655173,0.45223488168273446,0.38103254769921435,0.6427015250544662,0.1485148514851485,0.0,0.0,0.0,0.6671469740634006
gmm,10,92,True,4044,7520,0.5377659574468086,0.723448275862069,0.4154250657318142,0.4287317620650954,0.5976761074800291,0.06435643564356436,0.0,0.0,0.14925373134328357,0.649135446685879
gmm,5,72,False,4044,7520,0.5377659574468086,0.7455172413793103,0.406660823838738,0.39113355780022446,0.6564996368917938,0.15841584158415842,0.0,0.0,0.23134328358208955,0.6015850144092219
gmm,5,78,False,4043,7520,0.5376329787234042,0.7455172413793103,0.4075372480280456,0.3984287317620651,0.6296296296296297,0.2871287128712871,0.0,0.0,0.23134328358208955,0.5987031700288185
gmm,20,100,False,4041,7520,0.5373670212765957,0.7027586206896552,0.4890446976336547,0.40347923681257014,0.5265068990559186,0.3217821782178218,0.0,0.0,0.291044776119403,0.659942363112392
gmm,False,67,True,4038,7520,0.5369680851063829,0.6882758620689655,0.4758983347940403,0.3759820426487093,0.5831517792302106,0.30198019801980197,0.0,0.0,0.27611940298507465,0.6671469740634006
gmm,False,78,True,4037,7520,0.5368351063829787,0.7275862068965517,0.4855390008764242,0.33557800224466894,0.5911401597676107,0.25742574257425743,0.0,0.0,0.27611940298507465,0.6678674351585014
gmm,10,67,False,4036,7520,0.5367021276595745,0.7158620689655173,0.48466257668711654,0.39057239057239057,0.5548293391430646,0.09405940594059406,0.0,0.0,0.21641791044776118,0.6750720461095101
