clustering_method,pca_n_components,num_clusters,standardize,sum_cluster_values,all_cluster_values,accuracy_total,accuracy_Type_A,accuracy_Type_B,accuracy_Type_C,accuracy_Type_D,accuracy_Type_E,accuracy_Type_F,accuracy_Type_G,accuracy_Type_H,accuracy_Type_J
gmm,2,100,True,3903,7520,0.5190159574468085,0.7151724137931035,0.32602979842243646,0.4713804713804714,0.5664488017429193,0.3564356435643564,0.0,0.029411764705882353,0.029850746268656716,0.5742074927953891
gmm,2,92,True,3900,7520,0.5186170212765957,0.7151724137931035,0.32602979842243646,0.45847362514029183,0.5599128540305011,0.3415841584158416,0.08333333333333333,0.029411764705882353,0.022388059701492536,0.5972622478386167
gmm,3,67,True,3896,7520,0.5180851063829788,0.7358620689655172,0.3672217353198948,0.44276094276094274,0.5642701525054467,0.24257425742574257,0.08333333333333333,0.0,0.03731343283582089,0.5684438040345822
gmm,2,85,True,3896,7520,0.5180851063829788,0.7151724137931035,0.32602979842243646,0.4567901234567901,0.5577342047930284,0.35148514851485146,0.08333333333333333,0.029411764705882353,0.022388059701492536,0.5972622478386167
gmm,10,100,True,3891,7520,0.5174202127659574,0.5255172413793103,0.3987730061349693,0.494949494949495,0.5577342047930284,0.41089108910891087,0.08333333333333333,0.0,0.21641791044776118,0.6563400576368876
gmm,10,78,True,3886,7520,0.5167553191489361,0.5248275862068965,0.3987730061349693,0.4775533108866442,0.5758896151053013,0.43564356435643564,0.08333333333333333,0.0,0.23134328358208955,0.6527377521613833
gmm,10,85,True,3882,7520,0.5162234042553191,0.5248275862068965,0.3987730061349693,0.4691358024691358,0.5896877269426289,0.39603960396039606,0.08333333333333333,0.0,0.23134328358208955,0.6527377521613833
gmm,10,72,True,3869,7520,0.5144946808510639,0.5248275862068965,0.40315512708150747,0.5078563411896745,0.55119825708061,0.35148514851485146,0.08333333333333333,0.0,0.05223880597014925,0.6520172910662824
gmm,20,100,False,3864,7520,0.5138297872340426,0.9455172413793104,0.028921998247151623,0.4377104377104377,0.6230936819172114,0.22772277227722773,0.0,0.0,0.373134328358209,0.5230547550432276
gmm,20,92,False,3864,7520,0.5138297872340426,0.9455172413793104,0.028921998247151623,0.4377104377104377,0.6230936819172114,0.22772277227722773,0.0,0.0,0.1417910447761194,0.5453890489913544
gmm,5,32,True,3861,7520,0.5134308510638298,0.7027586206896552,0.37160385626643294,0.55331088664422,0.4074074074074074,0.22772277227722773,0.0,0.0,0.014925373134328358,0.5929394812680115
gmm,10,92,True,3860,7520,0.5132978723404256,0.5248275862068965,0.4040315512708151,0.4910213243546577,0.5410312273057372,0.40594059405940597,0.08333333333333333,0.0,0.21641791044776118,0.6527377521613833
gmm,5,30,True,3853,7520,0.5123670212765957,0.7027586206896552,0.37160385626643294,0.5488215488215489,0.4175744371822803,0.17326732673267325,0.0,0.0,0.0,0.5922190201729106
gmm,2,78,True,3850,7520,0.511968085106383,0.7151724137931035,0.4899211218229623,0.32098765432098764,0.5679012345679012,0.32673267326732675,0.08333333333333333,0.029411764705882353,0.022388059701492536,0.5972622478386167
gmm,20,85,False,3849,7520,0.5118351063829787,0.9462068965517242,0.026292725679228746,0.43209876543209874,0.6274509803921569,0.20297029702970298,0.0,0.0,0.1417910447761194,0.542507204610951
gmm,2,72,True,3835,7520,0.5099734042553191,0.7151724137931035,0.4899211218229623,0.2789001122334456,0.6136528685548294,0.31683168316831684,0.0,0.029411764705882353,0.022388059701492536,0.5972622478386167
gmm,2,67,True,3832,7520,0.5095744680851064,0.7151724137931035,0.4899211218229623,0.2895622895622896,0.599128540305011,0.3118811881188119,0.0,0.0,0.022388059701492536,0.5972622478386167
gmm,5,100,True,3830,7520,0.5093085106382979,0.5248275862068965,0.6783523225241017,0.36195286195286197,0.5388525780682644,0.35148514851485146,0.08333333333333333,0.0,0.03731343283582089,0.5987031700288185
gmm,2,57,True,3829,7520,0.5091755319148936,0.7151724137931035,0.4890446976336547,0.32154882154882153,0.5802469135802469,0.3118811881188119,0.0,0.0,0.022388059701492536,0.5734870317002881
gmm,2,61,True,3827,7520,0.5089095744680852,0.7151724137931035,0.4899211218229623,0.31313131313131315,0.588961510530138,0.3118811881188119,0.0,0.0,0.022388059701492536,0.5734870317002881
gmm,5,85,True,3826,7520,0.5087765957446808,0.5248275862068965,0.6783523225241017,0.3400673400673401,0.5642701525054467,0.3613861386138614,0.08333333333333333,0.0,0.05970149253731343,0.5951008645533141
gmm,5,92,True,3826,7520,0.5087765957446808,0.5248275862068965,0.6783523225241017,0.35185185185185186,0.5504720406681191,0.35148514851485146,0.08333333333333333,0.0,0.05223880597014925,0.595821325648415
gmm,2,52,True,3823,7520,0.5083776595744681,0.7151724137931035,0.4890446976336547,0.32154882154882153,0.5809731299927379,0.27722772277227725,0.0,0.0,0.022388059701492536,0.5734870317002881
gmm,10,100,False,3823,7520,0.5083776595744681,0.9448275862068966,0.0008764241893076249,0.43153759820426485,0.5526506899055919,0.18811881188118812,0.0,0.0,0.23880597014925373,0.6138328530259366
