fname,label
201007230452_63,E
201007240414_63,E
201007250447_64,A
201007250447_63,E
201007260349_63,D
201007260349_64,A
201007270248_63,F
201007280344_63,C
201007300650_65,H
201007310225_65,H
201008010408_65,E
201008020250_65,C
201008030314_65,C
201008040257_65,F
201008050251_65,H
201008050251_69,A
201008060251_68,D
201008060251_67,D
201008060251_65,H
201008070258_67,C
201008070258_69,C
201008070258_65,H
201008080245_67,D
201008080245_69,H
201008080245_65,H
201008090459_70,D
201008090459_67,C
201008090459_69,H
201008100402_70,H
201008100402_67,H
201008100402_69,D
201008110343_71,D
201008110343_67,H
201008110343_70,D
201008110343_69,H
201008120324_69,A
201008120324_67,H
201008120324_71,D
201008120324_70,D
201008130321_71,C
201008130321_73,C
201008130321_67,H
201008140253_73,D
201008140253_67,H
201008140253_71,C
201008150310_73,D
201008150310_74,A
201008160410_71,D
201008160410_75,H
201008160410_74,D
201008170329_71,D
201008181200_71,A
201008190358_76,A
201008260332_77,H
201008270417_77,H
201008280339_77,H
201008290338_77,H
201008290338_78,D
201008300329_78,C
201008300329_77,H
201008310314_77,D
201008310314_78,D
201009010435_77,D
201009010435_78,D
201009020440_78,H
201009020440_81,C
201009020440_80,A
201009020440_77,H
201009020440_79,D
201009040538_81,D
201009040538_77,H
201009050351_81,D
201009060449_81,D
201009130350_82,F
201009180437_84,F
201009190448_84,F
201009210422_82,H
201009220347_84,H
201009240428_85,E
201009240428_86,A
201009240428_84,H
201009250451_85,E
201009250451_84,D
201009260733_84,H
201009260733_86,H
201009260733_85,E
201009270412_86,C
201009270412_85,E
201009280405_86,D
201009280405_85,E
201009290451_86,D
201009290451_85,E
201009300814_87,H
201009300814_86,D
201009300814_85,D
201010010510_85,E
201010010510_87,B
201010010510_86,A
201010020611_87,B
201010020611_85,C
201010110429_88,C
201010120422_88,C
201010130620_88,C
201010150727_88,B
201010150727_89,H
201010170827_88,E
201010170827_89,H
201010170827_91,B
201010170827_90,H
201010180448_89,H
201010180448_91,A
201010180448_90,H
201010180448_88,C
201010190512_89,H
201010190512_92,B
201010190512_90,C
201010200451_93,A
201010200451_90,C
201010200451_89,H
201010210515_89,H
201010210515_90,C
201010210515_94,H
201010220431_89,H
201010220431_90,H
201010220431_94,H
201010230446_90,H
201010230446_95,D
201010230446_94,D
201010230446_89,H
201010240525_95,D
201010240525_92,A
201010240525_90,H
201010240525_94,H
201010240525_89,H
201010250431_90,H
201010250431_92,C
201010250431_94,H
201010250431_95,D
201010260435_92,B
201010260435_95,E
201010260435_94,C
201010270437_94,H
201010270437_95,E
201010280434_95,E
201010280434_94,H
201010290949_94,H
201010290949_95,E
201010290949_96,H
201011020449_97,B
201011030503_97,B
201011040448_97,E
201011050457_97,B
201011060454_98,B
201011060454_97,B
201011060454_99,B
201011070518_99,C
201011070518_98,C
201011080516_99,D
201011090507_99,B
201011100456_100,C
201011100456_101,B
201011100456_98,D
201011100456_99,B
201011110456_100,D
201011110456_101,D
201011110456_102,C
201011120457_102,B
201011120457_100,D
201011120457_101,D
201011130532_101,D
201011130532_102,D
201011130532_100,D
201011140516_100,D
201011140516_102,C
201011140516_101,D
201011140516_103,H
201011150531_100,A
201011150531_101,D
201011150531_103,D
201011150531_102,C
201011160525_101,E
201011160525_102,B
201011160525_103,D
201011170507_101,E
201011170507_103,D
201011180511_104,H
201011180511_103,D
201011190454_104,H
201011190454_103,D
201011200511_104,C
201011200511_103,D
201011210531_103,C
201011210531_104,C
201011230523_105,B
201011230523_104,D
201011240551_104,H
201011250741_104,H
201011260606_104,H
201011260606_106,B
201011280617_108,B
201011290604_108,D
201011300838_108,D
201012010625_108,D
201012030516_108,C
201012030516_109,B
201012040604_110,C
201012040604_109,C
201012040604_111,D
201012050641_111,D
201012050641_110,C
201012060719_110,C
201012060719_113,A
201012060719_112,H
201012060719_111,A
201012070624_110,C
201012070624_112,H
201012070624_114,A
201012080604_110,C
201012080604_112,C
201012090600_110,C
201012090600_111,A
201012090600_112,H
201012100700_110,H
201012100700_112,C
201012100700_115,B
201012110621_112,C
201012110621_110,C
201012120723_112,H
201012120723_110,H
201012120723_116,B
201012131043_112,H
201012140730_112,H
201012160710_118,A
201012171001_118,A
201012220609_119,B
201012220609_120,A
201012230619_119,B
201012240611_119,B
201012240611_121,B
201012250628_121,B
201012250628_122,B
201012260557_122,B
201012260557_123,A
201012270656_124,D
201012270656_122,B
201012280701_124,C
201012290915_124,C
201012290915_125,A
201012300810_124,B
201101020635_126,C
201101020635_127,H
201101020635_1,D
201101030934_127,H
201101030934_126,B
201101030934_1,D
201101040609_127,H
201101040609_1,D
201101040609_126,B
201101050926_1,D
201101050926_127,C
201101060856_127,H
201101060856_1,C
201101070544_127,H
201101070544_2,B
201101070544_1,A
201101080839_2,B
201101080839_127,H
201101100616_4,B
201101100616_127,H
201101110616_5,A
201101120630_5,C
201101130634_5,B
201101170709_7,B
201101170709_6,C
201101200754_6,C
201101200754_7,B
201101210631_6,C
201101210631_8,C
201101220612_8,C
201101220612_6,H
201101230702_6,H
201101230702_8,D
201101230702_9,H
201101241026_6,H
201101241026_8,E
201101250641_8,E
201101250641_6,H
201101290700_10,B
201101300715_10,B
201101310941_10,C
201102010651_10,D
201102020633_10,B
201102030640_11,B
201102030640_10,B
201102040848_10,A
201102040848_12,B
201102040848_11,B
201102050705_12,A
201102050705_11,B
201102090627_15,B
201102090627_16,B
201102110727_17,B
201102110727_18,A
201102110727_16,B
201102110727_15,A
201102110727_19,B
201102120709_19,B
201102120709_17,B
201102120709_15,B
